nrow,id,dia,aerolinea,destino,region,dest_size,area_abordaje,fecha_salida,espera_min,limpieza,seguridad,satisfaccion,espera_hr,espera_tipo,tipo_dia_semana
372,2239,jueves,SUDOESTE,PHOENIX,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,94.9999999999999,Algo limpio,Algo seguro,Algo satisfecho,1.5833333333333317,medio,weekday
373,479,domingo,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,87.99999999999979,Algo limpio,Muy seguro,Algo satisfecho,1.466666666666663,medio,weekend
375,2170,miércoles,FRONTIER,DENVER,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,153.0,Promedio,Algo seguro,Algo satisfecho,2.55,medio,weekday
377,2971,martes,UNITED,CHICAGO-O'HARE,midwest us,Hub,Gates 70-90,2018-12-31,250.0,Algo limpio,Muy seguro,Muy satisfecho,4.166666666666667,largo,weekday
378,2442,martes,JETBLUE,BOSTON,east us,Large,Gates 1-12,2018-12-31,207.0,Algo limpio,Neutral,Neutral,3.45,largo,weekday
379,3207,jueves,AMERICAN,LOS ANGELES,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,70.0,Limpio,Muy seguro,Algo satisfecho,1.1666666666666667,medio,weekday
380,2926,martes,SUDOESTE,SAN DIEGO,oeste de ee. uu.,Medium,Gates 20-39,2018-12-31,90.0,Limpio,Muy seguro,Muy satisfecho,1.5,medio,weekday
381,859,martes,AMERICAN,DALLAS-FT. WORTH,medio oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,685.0,Algo limpio,Algo seguro,Algo satisfecho,11.416666666666666,largo,weekday
383,2918,jueves,DELTA,SEATTLE,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,90.0,Algo limpio,Neutral,Algo satisfecho,1.5,medio,weekday
384,944,jueves,AIR CANADA,VANCOUVER,canadá / méxico,Medium,Gates 91-102,2018-12-31,165.0,Limpio,Muy seguro,Muy satisfecho,2.75,medio,weekday
385,418,domingo,UNITED,HONOLULU,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,195.0,Algo limpio,Muy seguro,Algo satisfecho,3.25,largo,weekend
386,1323,martes,UNITED INTL,LONDON HEATHROW,europa,Hub,Gates 91-102,2018-12-31,200.0,Limpio,Muy seguro,Muy satisfecho,3.3333333333333335,largo,weekday
387,2480,viernes,UNITED,DENVER,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,101.0,Limpio,Muy seguro,Algo satisfecho,1.6833333333333333,medio,weekday
388,1750,lunes,LUFTHANSA,MUNICH,europa,Hub,Gates 91-102,2018-12-31,145.0,Promedio,Algo seguro,Algo satisfecho,2.4166666666666665,medio,weekday
389,1131,jueves,DELTA,MINNEAPOLIS-ST. PAUL,medio oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,90.0,Algo limpio,Algo seguro,Muy satisfecho,1.5,medio,weekday
390,3193,domingo,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-01-01,160.0,Algo limpio,Muy seguro,Neutral,2.6666666666666665,medio,weekend
391,1322,martes,UNITED INTL,LONDON HEATHROW,europa,Hub,Gates 91-102,2018-12-31,180.0,Limpio,Muy seguro,Algo satisfecho,3.0,medio,weekday
392,2166,miércoles,FRONTIER,DENVER,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,113.0,Limpio,Muy seguro,Algo satisfecho,1.8833333333333333,medio,weekday
393,555,jueves,EMIRATES,DUBAI,medio oriente,Hub,Gates 1-12,2018-12-31,225.0,Algo limpio,Muy seguro,Algo satisfecho,3.75,largo,weekday
394,1757,lunes,LUFTHANSA,MUNICH,europa,Hub,Gates 91-102,2018-12-31,175.0,Algo limpio,Algo seguro,Algo satisfecho,2.9166666666666665,medio,weekday
395,1065,viernes,AIR CANADA,CALGARY,canadá / méxico,Medium,Gates 91-102,2018-12-31,295.0,Algo limpio,Muy inseguro,Neutral,4.916666666666667,largo,weekday
396,1298,jueves,JETBLUE,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 1-12,2018-12-31,111.0,Promedio,Algo seguro,Neutral,1.85,medio,weekday
397,396,viernes,ALASKA,INDIANAPOLIS,medio oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,100.0,Algo limpio,Algo seguro,Algo satisfecho,1.6666666666666667,medio,weekday
398,1383,martes,UNITED INTL,SHANGHAI,asia,Hub,Gates 91-102,2018-12-31,145.0,Promedio,Muy seguro,Neutral,2.4166666666666665,medio,weekday
399,1028,viernes,AIR CANADA,VANCOUVER,canadá / méxico,Medium,Gates 91-102,2018-12-31,135.0,Algo limpio,Neutral,Algo insatisfecho,2.25,medio,weekday
400,1813,lunes,UNITED INTL,LONDON HEATHROW,europa,Hub,Gates 91-102,2018-12-31,155.0,Promedio,Muy seguro,Neutral,2.5833333333333335,medio,weekday
401,331,viernes,ALASKA,SAN DIEGO,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,156.0,Promedio,Algo seguro,Neutral,2.6,medio,weekday
403,3091,domingo,ALASKA,NEWARK,east us,Hub,Gates 50-59,2018-12-31,140.0,Limpio,Muy seguro,Muy satisfecho,2.3333333333333335,medio,weekend
404,1315,jueves,JETBLUE,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 1-12,2018-12-31,96.0,Limpio,Algo seguro,Neutral,1.6,medio,weekday
406,352,viernes,LUFTHANSA,FRANKFURT,europa,Hub,Gates 91-102,2018-12-31,240.0,Algo limpio,Algo seguro,Algo satisfecho,4.0,largo,weekday
407,1659,sábado,EMIRATES,DUBAI,medio oriente,Hub,Gates 1-12,2018-12-31,180.0,Limpio,Muy seguro,Algo satisfecho,3.0,medio,weekend
408,1964,viernes,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,200.0,Limpio,Algo seguro,Algo satisfecho,3.3333333333333335,largo,weekday
409,790,jueves,UNITED INTL,SAN JOSE DEL CABO,canadá / méxico,Small,Gates 91-102,2018-12-31,105.0,Promedio,Algo seguro,Algo satisfecho,1.75,medio,weekday
410,1445,sábado,UNITED,PORTLAND,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,84.9999999999999,Limpio,Muy seguro,Algo satisfecho,1.416666666666665,medio,weekend
411,293,jueves,UNITED,SAN DIEGO,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,182.0,Limpio,Muy seguro,Muy satisfecho,3.033333333333333,largo,weekday
414,294,jueves,UNITED,SAN DIEGO,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,182.0,Algo limpio,Muy seguro,Muy satisfecho,3.033333333333333,largo,weekday
415,763,jueves,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,115.0,Algo limpio,Neutral,Algo satisfecho,1.9166666666666667,medio,weekday
416,1701,domingo,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,180.0,Promedio,Algo seguro,Neutral,3.0,medio,weekend
417,2472,viernes,UNITED,CHICAGO-O'HARE,midwest us,Hub,Gates 60-69,2018-12-31,139.0,Algo limpio,Muy seguro,Neutral,2.316666666666667,medio,weekday
418,2892,domingo,WOW,REYKJAVIK,europa,Small,Gates 1-12,2018-12-31,175.0,Algo limpio,Muy seguro,Algo insatisfecho,2.9166666666666665,medio,weekend
419,2612,martes,JETBLUE,BOSTON,este de ee. uu.,Large,Gates 1-12,2018-12-31,120.0,Promedio,Neutral,Algo insatisfecho,2.0,medio,weekday
421,263,viernes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,175.0,Limpio,Muy seguro,Neutral,2.9166666666666665,medio,weekday
422,3103,domingo,ALASKA,NEWARK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,105.0,Limpio,Algo seguro,Muy satisfecho,1.75,medio,weekend
423,2275,miércoles,WOW,REYKJAVIK,europa,Small,Gates 91-102,2018-12-31,145.0,Limpio,Muy seguro,Muy satisfecho,2.4166666666666665,medio,weekday
424,2688,martes,SUDOESTE,DENVER,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,140.0,Promedio,Neutral,Neutral,2.3333333333333335,medio,weekday
426,2678,viernes,UNITED,ORLANDO,este de ee. uu.,Hub,Gates 70-90,2018-12-31,212.0,Limpio,Algo seguro,Muy satisfecho,3.533333333333333,largo,weekday
427,539,jueves,EMIRATES,DUBAI,medio oriente,Hub,Gates 1-12,2018-12-31,29.9999999999999,Limpio,Muy seguro,Muy satisfecho,0.49999999999999833,corto,weekday
428,2496,viernes,UNITED,DENVER,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,191.0,Limpio,Neutral,Muy satisfecho,3.183333333333333,largo,weekday
430,2916,viernes,TURKISH AIRLINES,ESTAMBUL,medio oriente,Hub,Gates 91-102,2018-12-31,105.0,Limpio,Muy seguro,Muy satisfecho,1.75,medio,weekday
431,2299,martes,UNITED,SAN ANTONIO,midwest us,Medium,Gates 70-90,2018-12-31,120.0,Limpio,Algo seguro,Muy satisfecho,2.0,medio,weekday
432,1853,domingo,ALASKA,KAHULUI,oeste de ee. uu.,Small,Gates 50-59,2018-12-31,145.0,Limpio,Muy seguro,Muy satisfecho,2.4166666666666665,medio,weekend
433,3014,martes,UNITED,PORTLAND,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,90.0,Algo limpio,Neutral,Algo satisfecho,1.5,medio,weekday
434,1133,martes,SUDOESTE,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,100.0,Algo limpio,Algo seguro,Muy satisfecho,1.6666666666666667,medio,weekday
435,2874,viernes,EVA AIR,TAIPEI,asia,Hub,Gates 91-102,2018-12-31,99.9999999999999,Algo limpio,Algo seguro,Neutral,1.666666666666665,medio,weekday
436,816,domingo,ALASKA,BALTIMORE,este de ee. uu.,Medium,Gates 50-59,2018-12-31,110.0,Algo limpio,Algo seguro,Algo satisfecho,1.8333333333333333,medio,weekend
437,249,jueves,UNITED,NASHVILLE,medio oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,130.0,Limpio,Muy seguro,Algo satisfecho,2.1666666666666665,medio,weekday
438,2204,miércoles,AER LINGUS,DUBLIN,europa,Large,Gates 91-102,2018-12-31,210.0,Limpio,Algo seguro,Algo satisfecho,3.5,largo,weekday
439,2748,miércoles,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,150.0,Algo limpio,Muy seguro,Algo satisfecho,2.5,medio,weekday
440,335,miércoles,SUDOESTE,PHOENIX,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,180.0,Limpio,Muy seguro,Algo satisfecho,3.0,medio,weekday
442,1922,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,135.0,Promedio,Neutral,Algo satisfecho,2.25,medio,weekend
443,1540,jueves,DELTA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 40-48,2018-12-31,105.0,Algo limpio,Algo seguro,Algo insatisfecho,1.75,medio,weekday
444,715,miércoles,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,175.0,Limpio,Muy seguro,Algo satisfecho,2.9166666666666665,medio,weekday
447,557,jueves,EMIRATES,DUBAI,medio oriente,Hub,Gates 1-12,2018-12-31,205.0,Algo sucio,Neutral,Algo satisfecho,3.4166666666666665,largo,weekday
448,1279,jueves,CHINA SUR,WUHAN,asia,Medium,Gates 1-12,2018-12-31,195.0,Promedio,Algo seguro,Algo satisfecho,3.25,largo,weekday
449,3253,martes,UNITED,SAN DIEGO,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,360.0,Algo limpio,Algo seguro,Neutral,6.0,largo,weekday
450,858,martes,AMERICAN,DALLAS-FT. WORTH,midwest us,Hub,Gates 50-59,2018-12-31,85.0000000000002,Algo limpio,Algo seguro,Algo satisfecho,1.41666666666667,medio,weekday
451,1529,miércoles,ALASKA,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,120.0,Algo limpio,Algo seguro,Muy satisfecho,2.0,medio,weekday
452,2788,domingo,WOW,REYKJAVIK,europa,Small,Gates 1-12,2018-12-31,175.0,Algo limpio,Algo seguro,Neutral,2.9166666666666665,medio,weekend
453,2517,sábado,UNITED,NEWARK,east us,Hub,Gates 70-90,2018-12-31,130.0,Algo limpio,Muy seguro,Algo satisfecho,2.1666666666666665,medio,weekend
454,792,miércoles,AMERICAN,LOS ANGELES,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,130.0,Algo limpio,Muy seguro,Neutral,2.1666666666666665,medio,weekday
455,2056,viernes,UNITED,NEWARK,east us,Hub,Gates 70-90,2018-12-31,180.0,Limpio,Muy seguro,Muy satisfecho,3.0,medio,weekday
456,3184,jueves,AMERICAN,DALLAS-FT. VALOR,medio oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,120.0,Limpio,Algo seguro,Neutral,2.0,medio,weekday
457,1767,jueves,AMERICAN,CHICAGO-O'HARE,midwest us,Hub,Gates 50-59,2018-12-31,80.0,Limpio,Muy seguro,Muy satisfecho,1.3333333333333333,medio,weekday
458,1192,martes,SUDOESTE,LAS VEGAS,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,30.0000000000001,Limpio,Muy seguro,Muy satisfecho,0.5000000000000017,corto,weekday
459,1211,martes,SUROESTE,LAS VEGAS,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,75.0000000000001,Limpio,Muy seguro,Muy satisfecho,1.2500000000000016,medio,weekday
461,864,martes,AMERICAN,DALLAS-FT. VALOR,medio oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,235.0,Algo limpio,Algo seguro,Neutral,3.9166666666666665,largo,weekday
462,817,domingo,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,140.0,Algo limpio,Algo seguro,Algo satisfecho,2.3333333333333335,medio,weekend
463,832,domingo,ALASKA,SEATTLE,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,185.0,Algo limpio,Algo seguro,Algo satisfecho,3.0833333333333335,largo,weekend
464,272,jueves,UNITED,LOS ANGELES,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,70.0000000000001,Algo limpio,Algo seguro,Algo satisfecho,1.1666666666666683,medio,weekday
465,1196,martes,SUDOESTE,LAS VEGAS,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,145.0,Algo sucio,Neutral,Algo insatisfecho,2.4166666666666665,medio,weekday
466,2205,jueves,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,365.0,Limpio,Muy seguro,Algo satisfecho,6.083333333333333,largo,weekday
467,2264,miércoles,UNITED,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 60-69,2018-12-31,125.0,Promedio,Algo seguro,Muy satisfecho,2.0833333333333335,medio,weekday
468,1504,miércoles,DELTA,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,105.0,Algo limpio,Muy seguro,Algo satisfecho,1.75,medio,weekday
469,1489,miércoles,HAWAIIAN AIR,HONOLULU,oeste de ee. uu.,Medium,Gates 1-12,2018-12-31,135.0,Algo limpio,Muy seguro,Algo satisfecho,2.25,medio,weekday
470,497,domingo,UNITED,DENVER,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,101.0,Algo limpio,Muy seguro,Algo satisfecho,1.6833333333333333,medio,weekend
471,1115,jueves,DELTA,MINNEAPOLIS-ST. PAUL,medio oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,120.0,Algo limpio,Neutral,Neutral,2.0,medio,weekday
472,1532,miércoles,JETBLUE,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 1-12,2018-12-31,161.0,Algo limpio,Muy seguro,Algo satisfecho,2.683333333333333,medio,weekday
473,3093,martes,UNITED,SPOKANE,oeste de ee. uu.,Small,Gates 70-90,2018-12-31,127.0,Algo sucio,Algo seguro,Algo satisfecho,2.1166666666666667,medio,weekday
474,1762,lunes,LUFTHANSA,MUNICH,europa,Hub,Gates 91-102,2018-12-31,415.0,Algo limpio,Algo seguro,Algo satisfecho,6.916666666666667,largo,weekday
475,2023,viernes,BRITISH AIRWAYS,LONDON HEATHROW,europa,Hub,Gates 1-12,2018-12-31,190.0,Algo limpio,Algo seguro,Neutral,3.1666666666666665,largo,weekday
476,2495,viernes,UNITED,CHICAGO-O'HARE,midwest us,Hub,Gates 60-69,2018-12-31,109.0,Algo limpio,Algo seguro,Muy satisfecho,1.8166666666666667,medio,weekday
477,658,viernes,UNITED INTL,MUNICH,europa,Hub,Gates 91-102,2018-12-31,445.0,Algo limpio,Algo seguro,Algo satisfecho,7.416666666666667,largo,weekday
478,781,miércoles,AMERICAN,LOS ANGELES,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,160.0,Algo limpio,Algo seguro,Muy satisfecho,2.6666666666666665,medio,weekday
479,2330,martes,DELTA,MINNEAPOLIS-ST. PAUL,medio oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,125.0,Algo limpio,Muy seguro,Algo satisfecho,2.0833333333333335,medio,weekday
480,3220,jueves,AMERICAN,LOS ANGELES,west us,Hub,Gates 50-59,2018-12-31,90.0,Limpio,Algo seguro,Muy satisfecho,1.5,medio,weekday
481,1474,martes,ALASKA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,160.0,Limpio,Muy seguro,Muy satisfecho,2.6666666666666665,medio,weekday
482,250,jueves,UNITED,NASHVILLE,medio oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,160.0,Promedio,Muy seguro,Algo satisfecho,2.6666666666666665,medio,weekday
483,1120,jueves,DELTA,MINNEAPOLIS-ST. PAUL,medio oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,120.0,Promedio,Neutral,Algo satisfecho,2.0,medio,weekday
484,2422,miércoles,AIR NEW ZEALAND,AUCKLAND,australia / nueva zelanda,Medium,Gates 91-102,2018-12-31,160.0,Algo limpio,Neutral,Neutral,2.6666666666666665,medio,weekday
485,414,domingo,UNITED,HOUSTON-BUSH,midwest us,Hub,Gates 70-90,2018-12-31,182.0,Algo limpio,Algo seguro,Algo satisfecho,3.033333333333333,largo,weekend
486,2289,miércoles,QANTAS,SYDNEY,australia / nueva zelanda,Hub,Gates 1-12,2018-12-31,165.0,Algo limpio,Muy seguro,Muy satisfecho,2.75,medio,weekday
487,254,viernes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,115.0,Limpio,Muy seguro,Algo satisfecho,1.9166666666666667,medio,weekday
488,3022,martes,UNITED,PORTLAND,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,75.0000000000001,Algo limpio,Neutral,Algo satisfecho,1.2500000000000016,medio,weekday
490,513,domingo,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,58.0,Algo limpio,Algo seguro,Algo satisfecho,0.9666666666666667,corto,weekend
491,3181,jueves,DELTA,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,150.0,Algo limpio,Muy seguro,Neutral,2.5,medio,weekday
492,2459,viernes,UNITED,DENVER,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,86.0,Limpio,Muy seguro,Algo satisfecho,1.4333333333333333,medio,weekday
493,2123,viernes,JETBLUE,LONG BEACH,oeste de ee. uu.,Small,Gates 1-12,2018-12-31,259.0,Limpio,Muy seguro,Muy satisfecho,4.316666666666666,largo,weekday
494,1343,martes,UNITED INTL,KANSAI,asia,Hub,Gates 91-102,2018-12-31,125.0,Promedio,Algo inseguro,Neutral,2.0833333333333335,medio,weekday
495,2851,martes,UNITED,SEATTLE,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,112.0,Algo limpio,Algo seguro,Algo satisfecho,1.8666666666666667,medio,weekday
496,481,domingo,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,193.0,Promedio,Muy seguro,Algo satisfecho,3.216666666666667,largo,weekend
497,2870,miércoles,UNITED,WASHINGTON DC-DULLES,este de ee. uu.,Medium,Gates 70-90,2018-12-31,167.0,Algo limpio,Muy seguro,Algo satisfecho,2.783333333333333,medio,weekday
498,1516,miércoles,INTERJET,GUADALAJARA,canadá / méxico,Medium,Gates 1-12,2018-12-31,135.0,Limpio,Muy seguro,Algo satisfecho,2.25,medio,weekday
500,2391,miércoles,UNITED INTL,BEIJING,asia,Hub,Gates 91-102,2018-12-31,165.0,Limpio,Muy seguro,Muy satisfecho,2.75,medio,weekday
501,2137,miércoles,AIR CANADA,VANCOUVER,canadá / méxico,Medium,Gates 91-102,2018-12-31,295.0,Promedio,Algo seguro,Algo satisfecho,4.916666666666667,largo,weekday
502,1815,lunes,UNITED INTL,LONDON HEATHROW,europa,Hub,Gates 91-102,2018-12-31,155.0,Algo limpio,Muy seguro,Algo satisfecho,2.5833333333333335,medio,weekday
503,2479,viernes,UNITED,CHICAGO-O'HARE,midwest us,Hub,Gates 60-69,2018-12-31,139.0,Limpio,Muy seguro,Algo satisfecho,2.316666666666667,medio,weekday
504,3082,martes,UNITED,SPOKANE,west us,Small,Gates 70-90,2018-12-31,97.0000000000001,Limpio,Muy seguro,Algo satisfecho,1.6166666666666683,medio,weekday
505,749,domingo,ALASKA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,150.0,Limpio,Muy seguro,Algo satisfecho,2.5,medio,weekend
506,1990,viernes,AIR FRANCE / KLM,AMSTERDAM,europa,Hub,Gates 1-12,2018-12-31,205.0,Promedio,Neutral,Neutral,3.4166666666666665,largo,weekday
507,1381,martes,UNITED INTL,SHANGHAI,asia,Hub,Gates 91-102,2018-12-31,175.0,Algo limpio,Algo seguro,Neutral,2.9166666666666665,medio,weekday
508,1174,jueves,DELTA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 40-48,2018-12-31,120.0,Algo limpio,Algo seguro,Algo satisfecho,2.0,medio,weekday
509,2007,viernes,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,215.0,Algo limpio,Muy seguro,Algo satisfecho,3.5833333333333335,largo,weekday
510,1685,sábado,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,185.0,Limpio,Muy seguro,Muy satisfecho,3.0833333333333335,largo,weekend
511,445,domingo,UNITED,INDIANAPOLIS,medio oeste de ee. uu.,Medium,Gates 60-69,2018-12-31,218.0,Limpio,Muy seguro,Algo satisfecho,3.6333333333333333,largo,weekend
513,1967,viernes,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,170.0,Promedio,Neutral,Neutral,2.8333333333333335,medio,weekday
514,2371,martes,JETBLUE,FT. LAUDERDALE,este de ee. uu.,Large,Gates 1-12,2018-12-31,131.0,Limpio,Muy seguro,Muy satisfecho,2.183333333333333,medio,weekday
515,671,jueves,UNITED,NEWARK,east us,Hub,Gates 70-90,2018-12-31,165.0,Limpio,Muy seguro,Algo satisfecho,2.75,medio,weekday
517,1169,martes,SUDOESTE,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,100.0,Algo limpio,Muy seguro,Algo satisfecho,1.6666666666666667,medio,weekday
519,745,jueves,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,145.0,Algo limpio,Muy seguro,Algo satisfecho,2.4166666666666665,medio,weekday
520,2812,jueves,DELTA,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,115.0,Promedio,Algo seguro,Algo insatisfecho,1.9166666666666667,medio,weekday
521,2760,jueves,DELTA,ATLANTA,este de ee. uu.,Hub,Gates 40-48,2018-12-31,210.0,Limpio,Muy seguro,Muy satisfecho,3.5,largo,weekday
523,1679,sábado,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,205.0,Promedio,Neutral,Algo satisfecho,3.4166666666666665,largo,weekend
524,2609,martes,JETBLUE,BOSTON,este de ee. uu.,Large,Gates 1-12,2018-12-31,177.0,Limpio,Neutral,Algo satisfecho,2.95,medio,weekday
525,2327,martes,DELTA,MINNEAPOLIS-ST. PAUL,medio oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,95.0000000000001,Promedio,Neutral,Neutral,1.583333333333335,medio,weekday
526,1313,jueves,JETBLUE,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 1-12,2018-12-31,96.0,Algo limpio,Algo seguro,Algo satisfecho,1.6,medio,weekday
527,1019,viernes,AIR CANADA,VANCOUVER,canadá / méxico,Medium,Gates 91-102,2018-12-31,110.0,Algo limpio,Algo seguro,Algo satisfecho,1.8333333333333333,medio,weekday
528,846,martes,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,274.0,Algo limpio,Algo seguro,Algo satisfecho,4.566666666666666,largo,weekday
529,1460,sábado,UNITED,PORTLAND,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,100.0,Promedio,Algo seguro,Neutral,1.6666666666666667,medio,weekend
530,309,jueves,UNITED,SAN DIEGO,west us,Medium,Gates 70-90,2018-12-31,302.0,Limpio,Muy seguro,Muy satisfecho,5.033333333333333,largo,weekday
531,2761,miércoles,UNITED,AUSTIN,medio oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,110.0,Algo limpio,Algo seguro,Algo satisfecho,1.8333333333333333,medio,weekday
533,2066,jueves,AMERICAN,PHILADELPHIA,east us,Large,Gates 50-59,2018-12-31,117.0,Algo limpio,Muy seguro,Algo satisfecho,1.95,medio,weekday
535,2005,viernes,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,155.0,Limpio,Algo seguro,Neutral,2.5833333333333335,medio,weekday
536,102,martes,UNITED,WASHINGTON DC-DULLES,east us,Medium,Gates 70-90,2018-12-31,200.0,Algo limpio,Algo seguro,Algo satisfecho,3.3333333333333335,largo,weekday
537,2491,viernes,ALASKA,SALT LAKE CITY,oeste de ee. uu.,Medium,Gates 1-12,2018-12-31,150.0,Promedio,Muy seguro,Neutral,2.5,medio,weekday
538,1167,jueves,DELTA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 40-48,2018-12-31,100.0,Limpio,Neutral,Neutral,1.6666666666666667,medio,weekday
539,1660,sábado,EMIRATES,DUBAI,medio oriente,Hub,Gates 1-12,2018-12-31,165.0,Promedio,Neutral,Neutral,2.75,medio,weekend
540,3125,domingo,ALASKA,NEWARK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,110.0,Algo limpio,Algo seguro,Neutral,1.8333333333333333,medio,weekend
541,2906,viernes,TURKISH AIRLINES,ESTAMBUL,medio oriente,Hub,Gates 91-102,2018-12-31,315.0,Limpio,Muy seguro,Muy satisfecho,5.25,largo,weekday
542,1227,martes,SUROESTE,LAS VEGAS,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,105.0,Limpio,Muy seguro,Muy satisfecho,1.75,medio,weekday
543,641,martes,ALASKA,WASHINGTON DC-DULLES,este de ee. uu.,Medium,Gates 50-59,2018-12-31,115.0,Limpio,Muy seguro,Muy satisfecho,1.9166666666666667,medio,weekday
544,1478,martes,ALASKA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,230.0,Promedio,Neutral,Neutral,3.8333333333333335,largo,weekday
546,1797,domingo,ALASKA,RALEIGH-DURHAM,este de ee. uu.,Medium,Gates 50-59,2018-12-31,95.0000000000001,Limpio,Muy seguro,Algo satisfecho,1.583333333333335,medio,weekend
547,381,viernes,ALASKA,SAN JOSE DEL CABO,canada / mexico,Small,Gates 50-59,2018-12-31,165.0,Limpio,Neutral,Algo satisfecho,2.75,medio,weekday
